OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY,DIABETES_ADJRATE,DIABETES_L95CI,DIABETES_U95CI,DIABETES_STATEADJRATE,DIABETES_SL95CI,DIABETES_SU95CI,DIABETES_DISPLAY,HD_ADJRATE,HD_L95CI,HD_U95CI,HD_STATEADJRATE,HD_SL95CI,HD_SU95CI,HD_DISPLAY,LWB_ADJRATE,LWB_L95CI,LWB_U95CI,LWB_STATEADJRATE,LWB_SL95CI,LWB_SU95CI,LWB_DISPLAY,TF_ADJRATE,TF_L95CI,TF_U95CI,TF_STATEADJRATE,TF_SL95CI,TF_SU95CI,TF_DISPLAY,MVA_ADJRATE,MVA_L95CI,MVA_U95CI,MVA_STATEADJRATE,MVA_SL95CI,MVA_SU95CI,MVA_DISPLAY,SUICIDE_ADJRATE,SUICIDE_L95CI,SUICIDE_U95CI,SUICIDE_STATEADJRATE,SUICIDE_SL95CI,SUICIDE_SU95CI,SUICIDE_DISPLAY,INFLUENZA_ADJRATE,INFLUENZA_L95CI,INFLUENZA_U95CI,INFLUENZA_STATEADJRATE,INFLUENZA_SL95CI,INFLUENZA_SU95CI,INFLUENZA_DISPLAY,POD_DEATH_ADJRATE,POD_DEATH_L95CI,POD_DEATH_U95CI,POD_DEATH_STATEADJRATE,POD_DEATH_STATEL95CI,POD_DEATH_STATEU95CI,POD_DISPLAY
1,08043979000,478.25,344.32,612.18,619.91,617,622.82,"Census Tract 9790, Fremont County, Colorado",FREMONT,Lower Than State Average,712.87,598.67,827.07,1281.52,1277.48,1285.56,Lower Than State Average,145.38,89.53,201.23,127.12,125.8,128.44,Not Different Than State Average,8.7,4.26,14.51,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,19.62,4.29,46.06,10.87,10.49,11.26,Not Different Than State Average,56.21,26.42,97.1,20.68,20.15,21.22,Higher Than State Average,100.2,41.63,158.76,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
2,08045951600,273.05,198.85,347.26,619.91,617,622.82,"Census Tract 9516, Garfield County, Colorado",GARFIELD,Lower Than State Average,995.36,860.93,1129.8,1281.52,1277.48,1285.56,Lower Than State Average,43.53,18.94,78.21,127.12,125.8,128.44,Lower Than State Average,6.81,3.59,10.03,7.43,7.34,7.52,Not Different Than State Average,5.95,1.88,12.28,7.01,6.78,7.24,Not Different Than State Average,30.67,10.84,60.59,10.87,10.49,11.26,Not Different Than State Average,17.66,3.83,41.59,20.68,20.15,21.22,Not Different Than State Average,38.52,15.68,71.44,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
3,08069002803,0,0,0,619.91,617,622.82,"Census Tract 28.03, Larimer County, Colorado",LARIMER,No Events or Data Suppressed,0,0,0,1281.52,1277.48,1285.56,No Events or Data Suppressed,0,0,0,127.12,125.8,128.44,No Events or Data Suppressed,,,,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,0,0,0,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
4,08125963200,353.93,284.52,423.33,619.91,617,622.82,"Census Tract 9632, Yuma County, Colorado",YUMA,Lower Than State Average,1490.09,1358.33,1621.84,1281.52,1277.48,1285.56,Higher Than State Average,92.15,61.56,122.75,127.12,125.8,128.44,Lower Than State Average,4.14,2.02,6.27,7.43,7.34,7.52,Lower Than State Average,16.95,5.39,34.79,7.01,6.78,7.24,Not Different Than State Average,17.96,5.68,37.13,10.87,10.49,11.26,Not Different Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,93.83,58.26,129.4,54.87,54,55.75,Higher Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
5,08069002401,542.5,244.83,840.18,619.91,617,622.82,"Census Tract 24.01, Larimer County, Colorado",LARIMER,Not Different Than State Average,1143.22,0,2433.5,1281.52,1277.48,1285.56,Not Different Than State Average,45.65,8.93,110.76,127.12,125.8,128.44,Lower Than State Average,,,,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,28.55,2.48,83.02,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
6,08069002402,708.97,536.25,881.69,619.91,617,622.82,"Census Tract 24.02, Larimer County, Colorado",LARIMER,Not Different Than State Average,611.01,505.22,716.8,1281.52,1277.48,1285.56,Lower Than State Average,128.43,74.94,181.93,127.12,125.8,128.44,Not Different Than State Average,5.95,1.93,11.98,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,50.42,19.66,95.4,10.87,10.49,11.26,Higher Than State Average,73.95,35.2,126.91,20.68,20.15,21.22,Higher Than State Average,52.11,20.72,97.71,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
7,08103951200,213.49,128.45,298.53,619.91,617,622.82,"Census Tract 9512, Rio Blanco County, Colorado",RIO BLANCO,Lower Than State Average,1672.46,1444.67,1900.26,1281.52,1277.48,1285.56,Higher Than State Average,155.19,82.74,227.64,127.12,125.8,128.44,Not Different Than State Average,7.25,3.53,12.15,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,17.79,2.38,47.47,20.68,20.15,21.22,Not Different Than State Average,25.38,5.59,59.46,54.87,54,55.75,Not Different Than State Average,24.42,5.15,57.97,9.25,8.89,9.6,Not Different Than State Average
8,08103951100,435.52,335.63,535.42,619.91,617,622.82,"Census Tract 9511, Rio Blanco County, Colorado",RIO BLANCO,Lower Than State Average,1531.64,1368.87,1694.41,1281.52,1277.48,1285.56,Higher Than State Average,83.67,47.76,119.59,127.12,125.8,128.44,Lower Than State Average,7.26,3.46,11.06,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,23.7,6.7,51.09,10.87,10.49,11.26,Not Different Than State Average,30.92,10.76,61.46,20.68,20.15,21.22,Not Different Than State Average,121.86,72.3,171.42,54.87,54,55.75,Higher Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
9,08049000201,448.57,352.6,544.53,619.91,617,622.82,"Census Tract 2.01, Grand County, Colorado",GRAND,Lower Than State Average,664.42,557.35,771.5,1281.52,1277.48,1285.56,Lower Than State Average,136.2,80.54,191.86,127.12,125.8,128.44,Not Different Than State Average,9.32,4.83,13.81,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,13.81,3.24,31.74,10.87,10.49,11.26,Not Different Than State Average,35.59,16.39,62.14,20.68,20.15,21.22,Not Different Than State Average,39.8,19.29,67.66,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
10,08049000202,151.12,107.45,194.8,619.91,617,622.82,"Census Tract 2.02, Grand County, Colorado",GRAND,Lower Than State Average,217.04,163.16,270.92,1281.52,1277.48,1285.56,Lower Than State Average,44.48,18.8,70.15,127.12,125.8,128.44,Lower Than State Average,9.55,4.96,14.15,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,10.52,2.38,24.44,20.68,20.15,21.22,Not Different Than State Average,29.5,13.93,50.86,54.87,54,55.75,Lower Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
11,08049000100,389.77,284.85,494.69,619.91,617,622.82,"Census Tract 1, Grand County, Colorado",GRAND,Lower Than State Average,875.03,734.23,1015.83,1281.52,1277.48,1285.56,Lower Than State Average,53.53,20.51,86.54,127.12,125.8,128.44,Lower Than State Average,11.03,5.93,16.13,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,25.3,7.1,54.69,10.87,10.49,11.26,Not Different Than State Average,26.23,7.59,56.05,20.68,20.15,21.22,Not Different Than State Average,,,,54.87,54,55.75,No Events or Data Suppressed,,,,9.25,8.89,9.6,No Events or Data Suppressed
12,08081000600,489.81,259.91,719.72,619.91,617,622.82,"Census Tract 6, Moffat County, Colorado",MOFFAT,Not Different Than State Average,1234.77,937.17,1532.36,1281.52,1277.48,1285.56,Not Different Than State Average,260.89,86.64,435.14,127.12,125.8,128.44,Not Different Than State Average,,,,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,46.79,8.75,114.95,10.87,10.49,11.26,Not Different Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,,,,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
13,08081000500,418.75,326.61,510.88,619.91,617,622.82,"Census Tract 5, Moffat County, Colorado",MOFFAT,Lower Than State Average,1172.16,1012.36,1331.95,1281.52,1277.48,1285.56,Not Different Than State Average,154.59,79.26,229.91,127.12,125.8,128.44,Not Different Than State Average,7.61,4.4,10.81,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,18.24,4.92,39.99,10.87,10.49,11.26,Not Different Than State Average,30.26,11.89,57.05,20.68,20.15,21.22,Not Different Than State Average,26.88,9.81,52.37,54.87,54,55.75,Lower Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
14,08081000400,624.45,516.63,732.26,619.91,617,622.82,"Census Tract 4, Moffat County, Colorado",MOFFAT,Not Different Than State Average,2304.4,2113.21,2495.59,1281.52,1277.48,1285.56,Higher Than State Average,134.48,86.02,182.95,127.12,125.8,128.44,Not Different Than State Average,7.23,4.39,10.08,7.43,7.34,7.52,Not Different Than State Average,8.47,3.63,15.3,7.01,6.78,7.24,Not Different Than State Average,16.24,3.95,36.87,10.87,10.49,11.26,Not Different Than State Average,28.61,10.93,54.63,20.68,20.15,21.22,Not Different Than State Average,34.7,14.81,62.93,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
15,08081000300,466.9,346.72,587.08,619.91,617,622.82,"Census Tract 3, Moffat County, Colorado",MOFFAT,Lower Than State Average,978.74,812.55,1144.93,1281.52,1277.48,1285.56,Lower Than State Average,108.5,49.82,167.18,127.12,125.8,128.44,Not Different Than State Average,6.1,2.96,10.26,7.43,7.34,7.52,Not Different Than State Average,35.29,6.82,84.69,7.01,6.78,7.24,Not Different Than State Average,51.19,20.11,96.52,10.87,10.49,11.26,Higher Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,34.32,10.16,72.73,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
16,08057955600,690.08,465.47,914.69,619.91,617,622.82,"Census Tract 9556, Jackson County, Colorado",JACKSON,Not Different Than State Average,1221.03,946.95,1495.11,1281.52,1277.48,1285.56,Not Different Than State Average,195.64,101.75,319.87,127.12,125.8,128.44,Not Different Than State Average,11.11,4.2,20.77,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,0,0,0,20.68,20.15,21.22,No Events or Data Suppressed,,,,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
17,08121924100,406.17,281.47,530.87,619.91,617,622.82,"Census Tract 9241, Washington County, Colorado",WASHINGTON,Lower Than State Average,955.63,801.85,1109.41,1281.52,1277.48,1285.56,Lower Than State Average,95.81,46.04,145.57,127.12,125.8,128.44,Not Different Than State Average,7.53,3.08,13.73,7.43,7.34,7.52,Not Different Than State Average,15.79,3.01,38.34,7.01,6.78,7.24,Not Different Than State Average,57.98,20.69,114.04,10.87,10.49,11.26,Higher Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,,,,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
18,08107000800,403.33,282.59,524.07,619.91,617,622.82,"Census Tract 8, Routt County, Colorado",ROUTT,Lower Than State Average,378.46,269.41,487.51,1281.52,1277.48,1285.56,Lower Than State Average,5.27,0.54,28.34,127.12,125.8,128.44,Lower Than State Average,4,0.78,9.57,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,0,0,0,20.68,20.15,21.22,No Events or Data Suppressed,32.78,7.28,76.6,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
19,08107000700,217.07,153.84,280.3,619.91,617,622.82,"Census Tract 7, Routt County, Colorado",ROUTT,Lower Than State Average,263.76,189.64,337.89,1281.52,1277.48,1285.56,Lower Than State Average,151.53,90.95,212.12,127.12,125.8,128.44,Not Different Than State Average,7.22,3.58,10.86,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,21.27,6.95,43.4,54.87,54,55.75,Lower Than State Average,12.28,2.34,30.03,9.25,8.89,9.6,Not Different Than State Average
20,08107000500,545.52,430.76,660.28,619.91,617,622.82,"Census Tract 5, Routt County, Colorado",ROUTT,Not Different Than State Average,730.64,591.78,869.51,1281.52,1277.48,1285.56,Lower Than State Average,54.15,27.99,88.86,127.12,125.8,128.44,Lower Than State Average,3.7,0.98,8.07,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,36.4,15.72,65.63,54.87,54,55.75,Not Different Than State Average,23.83,7.91,48.3,9.25,8.89,9.6,Not Different Than State Average
21,08107000200,367.9,250.18,485.63,619.91,617,622.82,"Census Tract 2, Routt County, Colorado",ROUTT,Lower Than State Average,812.84,654.58,971.09,1281.52,1277.48,1285.56,Lower Than State Average,96.36,41.18,151.54,127.12,125.8,128.44,Not Different Than State Average,6.36,2.59,11.66,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,36.45,9.88,79.76,10.87,10.49,11.26,Not Different Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,28.22,5.85,67.33,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
22,08107000400,202.95,117.52,288.39,619.91,617,622.82,"Census Tract 4, Routt County, Colorado",ROUTT,Lower Than State Average,340.13,212.3,467.95,1281.52,1277.48,1285.56,Lower Than State Average,115.99,73.37,168.32,127.12,125.8,128.44,Not Different Than State Average,4.89,2.26,8.47,7.43,7.34,7.52,Not Different Than State Average,5.99,1.9,12.35,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,12.63,1.82,33.17,20.68,20.15,21.22,Not Different Than State Average,,,,54.87,54,55.75,No Events or Data Suppressed,,,,9.25,8.89,9.6,No Events or Data Suppressed
23,08107000600,306.25,212.29,400.2,619.91,617,622.82,"Census Tract 6, Routt County, Colorado",ROUTT,Lower Than State Average,333.07,234.66,431.48,1281.52,1277.48,1285.56,Lower Than State Average,21.85,4.63,51.8,127.12,125.8,128.44,Lower Than State Average,8.94,4.57,14.6,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,19.73,3.68,48.51,54.87,54,55.75,Lower Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
24,08107000300,102.79,42.87,162.71,619.91,617,622.82,"Census Tract 3, Routt County, Colorado",ROUTT,Lower Than State Average,100.6,51.04,150.16,1281.52,1277.48,1285.56,Lower Than State Average,36.16,9.85,79,127.12,125.8,128.44,Lower Than State Average,7.96,3.26,14.48,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,0,0,0,20.68,20.15,21.22,No Events or Data Suppressed,,,,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
25,08107000100,99.89,27.55,172.22,619.91,617,622.82,"Census Tract 1, Routt County, Colorado",ROUTT,Lower Than State Average,94.99,44.08,165.2,1281.52,1277.48,1285.56,Lower Than State Average,34.46,7.63,80.6,127.12,125.8,128.44,Lower Than State Average,5.77,1.13,13.65,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,,,,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
26,08051963900,367.25,157.72,576.78,619.91,617,622.82,"Census Tract 9639, Gunnison County, Colorado",GUNNISON,Lower Than State Average,569.2,124.09,1014.31,1281.52,1277.48,1285.56,Lower Than State Average,,,,127.12,125.8,128.44,No Events or Data Suppressed,,,,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,102.05,33.54,207.67,20.68,20.15,21.22,Higher Than State Average,,,,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
27,08051963700,417.27,328.29,506.26,619.91,617,622.82,"Census Tract 9637, Gunnison County, Colorado",GUNNISON,Lower Than State Average,877.48,756.71,998.25,1281.52,1277.48,1285.56,Lower Than State Average,72.37,41.52,103.22,127.12,125.8,128.44,Lower Than State Average,9.03,5.9,12.17,7.43,7.34,7.52,Not Different Than State Average,5.17,0.98,12.64,7.01,6.78,7.24,Not Different Than State Average,15.04,4.73,31.15,10.87,10.49,11.26,Not Different Than State Average,36,18.46,59.33,20.68,20.15,21.22,Not Different Than State Average,42.7,23.35,67.85,54.87,54,55.75,Not Different Than State Average,16.73,5.7,33.56,9.25,8.89,9.6,Not Different Than State Average
28,08051963600,223.94,159.77,288.12,619.91,617,622.82,"Census Tract 9636, Gunnison County, Colorado",GUNNISON,Lower Than State Average,346.04,270.68,421.41,1281.52,1277.48,1285.56,Lower Than State Average,53.49,28.18,78.81,127.12,125.8,128.44,Lower Than State Average,5.15,2.08,9.48,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,19.63,5.52,42.39,20.68,20.15,21.22,Not Different Than State Average,40.48,16.22,64.73,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
29,08051963800,325.24,28.33,622.16,619.91,617,622.82,"Census Tract 9638, Gunnison County, Colorado",GUNNISON,Not Different Than State Average,267.08,0,559.1,1281.52,1277.48,1285.56,Lower Than State Average,57.29,30.8,91.92,127.12,125.8,128.44,Lower Than State Average,8.23,3.94,12.51,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,21.42,6.8,44.18,20.68,20.15,21.22,Not Different Than State Average,20.38,6.22,42.68,54.87,54,55.75,Lower Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
30,08021974900,709.7,591.09,828.31,619.91,617,622.82,"Census Tract 9749, Conejos County, Colorado",CONEJOS,Not Different Than State Average,2196.22,2007.32,2385.12,1281.52,1277.48,1285.56,Higher Than State Average,237.06,162.69,311.44,127.12,125.8,128.44,Higher Than State Average,7.66,4.05,11.26,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,18.62,4.92,41.12,10.87,10.49,11.26,Not Different Than State Average,35.3,14.78,64.62,20.68,20.15,21.22,Not Different Than State Average,94.89,49.92,139.87,54.87,54,55.75,Not Different Than State Average,26.42,9.26,52.37,9.25,8.89,9.6,Not Different Than State Average
31,08021974800,234.93,166.17,303.7,619.91,617,622.82,"Census Tract 9748, Conejos County, Colorado",CONEJOS,Lower Than State Average,1078.23,941.7,1214.76,1281.52,1277.48,1285.56,Lower Than State Average,113.95,67.83,160.06,127.12,125.8,128.44,Not Different Than State Average,10.77,5.44,16.1,7.43,7.34,7.52,Not Different Than State Average,4.41,0.83,10.79,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,17.82,3.85,42,20.68,20.15,21.22,Not Different Than State Average,30.59,10.7,60.69,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
32,08037000703,188.74,103.25,274.23,619.91,617,622.82,"Census Tract 7.03, Eagle County, Colorado",EAGLE,Lower Than State Average,89.25,42.49,136.02,1281.52,1277.48,1285.56,Lower Than State Average,62.02,27.13,111.11,127.12,125.8,128.44,Lower Than State Average,3.53,0.68,8.47,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,22.64,4.37,55.12,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
33,08037000301,351.49,219.62,483.37,619.91,617,622.82,"Census Tract 3.01, Eagle County, Colorado",EAGLE,Lower Than State Average,429.52,280.12,578.93,1281.52,1277.48,1285.56,Lower Than State Average,39.41,21.32,63.02,127.12,125.8,128.44,Lower Than State Average,7.81,4.87,10.75,7.43,7.34,7.52,Not Different Than State Average,15.91,6.35,29.7,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,9.11,1.84,21.89,20.68,20.15,21.22,Not Different Than State Average,62.99,39.39,92.1,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
34,08037000702,775.54,277.75,1273.34,619.91,617,622.82,"Census Tract 7.02, Eagle County, Colorado",EAGLE,Not Different Than State Average,811.18,603.1,1019.25,1281.52,1277.48,1285.56,Lower Than State Average,57.49,15.58,125.81,127.12,125.8,128.44,Not Different Than State Average,,,,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,0,0,0,20.68,20.15,21.22,No Events or Data Suppressed,26.29,2.23,76.77,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
35,08037000402,453.81,310.97,596.66,619.91,617,622.82,"Census Tract 4.02, Eagle County, Colorado",EAGLE,Lower Than State Average,654.67,480.89,828.46,1281.52,1277.48,1285.56,Lower Than State Average,40.6,19.11,70.09,127.12,125.8,128.44,Lower Than State Average,10.14,6.58,13.71,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,21.52,6.96,44.08,20.68,20.15,21.22,Not Different Than State Average,129.09,48.79,209.38,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
36,08037000501,696.91,398.75,1077.06,619.91,617,622.82,"Census Tract 5.01, Eagle County, Colorado",EAGLE,Not Different Than State Average,,,,1281.52,1277.48,1285.56,No Events or Data Suppressed,0,0,0,127.12,125.8,128.44,No Events or Data Suppressed,,,,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,0,0,0,20.68,20.15,21.22,No Events or Data Suppressed,0,0,0,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
37,08037000502,15.94,3.46,37.52,619.91,617,622.82,"Census Tract 5.02, Eagle County, Colorado",EAGLE,Lower Than State Average,13.75,2.48,34.11,1281.52,1277.48,1285.56,Lower Than State Average,9.81,1,27.72,127.12,125.8,128.44,Lower Than State Average,4.22,1.55,8.14,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,21.93,6.5,46.44,20.68,20.15,21.22,Not Different Than State Average,0,0,0,54.87,54,55.75,No Events or Data Suppressed,,,,9.25,8.89,9.6,No Events or Data Suppressed
38,08037000302,107.47,44.04,170.9,619.91,617,622.82,"Census Tract 3.02, Eagle County, Colorado",EAGLE,Lower Than State Average,64.13,33.34,94.93,1281.52,1277.48,1285.56,Lower Than State Average,21.82,3.07,57.62,127.12,125.8,128.44,Lower Than State Average,9.86,4.07,17.81,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,16.78,1.38,49.22,54.87,54,55.75,Lower Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
39,08037000403,239.2,191.16,287.24,619.91,617,622.82,"Census Tract 4.03, Eagle County, Colorado",EAGLE,Lower Than State Average,349.26,287.45,411.08,1281.52,1277.48,1285.56,Lower Than State Average,44.7,22.14,67.27,127.12,125.8,128.44,Lower Than State Average,4.4,2.46,6.33,7.43,7.34,7.52,Lower Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,13.15,4.64,26,20.68,20.15,21.22,Not Different Than State Average,16.17,6.5,30.18,54.87,54,55.75,Lower Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
40,08037000701,37.43,7.56,89.97,619.91,617,622.82,"Census Tract 7.01, Eagle County, Colorado",EAGLE,Lower Than State Average,127.33,62.68,214.61,1281.52,1277.48,1285.56,Lower Than State Average,45.6,11.46,102.41,127.12,125.8,128.44,Lower Than State Average,0,0,0,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,0,0,0,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
41,08037000401,101.74,60.64,142.84,619.91,617,622.82,"Census Tract 4.01, Eagle County, Colorado",EAGLE,Lower Than State Average,177.42,0,375.97,1281.52,1277.48,1285.56,Lower Than State Average,442.47,358.98,534.64,127.12,125.8,128.44,Higher Than State Average,7.57,3.76,11.38,7.43,7.34,7.52,Not Different Than State Average,11.54,2.19,28.09,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,14.77,3.07,35.23,20.68,20.15,21.22,Not Different Than State Average,0,0,0,54.87,54,55.75,No Events or Data Suppressed,,,,9.25,8.89,9.6,No Events or Data Suppressed
