OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY,DIABETES_ADJRATE,DIABETES_L95CI,DIABETES_U95CI,DIABETES_STATEADJRATE,DIABETES_SL95CI,DIABETES_SU95CI,DIABETES_DISPLAY,HD_ADJRATE,HD_L95CI,HD_U95CI,HD_STATEADJRATE,HD_SL95CI,HD_SU95CI,HD_DISPLAY,LWB_ADJRATE,LWB_L95CI,LWB_U95CI,LWB_STATEADJRATE,LWB_SL95CI,LWB_SU95CI,LWB_DISPLAY,TF_ADJRATE,TF_L95CI,TF_U95CI,TF_STATEADJRATE,TF_SL95CI,TF_SU95CI,TF_DISPLAY,MVA_ADJRATE,MVA_L95CI,MVA_U95CI,MVA_STATEADJRATE,MVA_SL95CI,MVA_SU95CI,MVA_DISPLAY,SUICIDE_ADJRATE,SUICIDE_L95CI,SUICIDE_U95CI,SUICIDE_STATEADJRATE,SUICIDE_SL95CI,SUICIDE_SU95CI,SUICIDE_DISPLAY,INFLUENZA_ADJRATE,INFLUENZA_L95CI,INFLUENZA_U95CI,INFLUENZA_STATEADJRATE,INFLUENZA_SL95CI,INFLUENZA_SU95CI,INFLUENZA_DISPLAY,POD_DEATH_ADJRATE,POD_DEATH_L95CI,POD_DEATH_U95CI,POD_DEATH_STATEADJRATE,POD_DEATH_STATEL95CI,POD_DEATH_STATEU95CI,POD_DISPLAY
1007,08041004506,710.91,604.77,817.04,619.91,617,622.82,"Census Tract 45.06, El Paso County, Colorado",EL PASO,Not Different Than State Average,1700.09,1553.64,1846.54,1281.52,1277.48,1285.56,Higher Than State Average,138.44,96.39,180.5,127.12,125.8,128.44,Not Different Than State Average,7.12,4.43,9.81,7.43,7.34,7.52,Not Different Than State Average,7.69,1.46,18.77,7.01,6.78,7.24,Not Different Than State Average,21.4,7.68,42,10.87,10.49,11.26,Not Different Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,69.34,36.6,102.08,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
1008,08041004300,789,691.7,886.3,619.91,617,622.82,"Census Tract 43, El Paso County, Colorado",EL PASO,Higher Than State Average,1511.41,1379.74,1643.09,1281.52,1277.48,1285.56,Higher Than State Average,110.63,72.64,148.62,127.12,125.8,128.44,Not Different Than State Average,5.82,3.65,7.99,7.43,7.34,7.52,Not Different Than State Average,10,4.29,18.07,7.01,6.78,7.24,Not Different Than State Average,12.41,3.36,27.18,10.87,10.49,11.26,Not Different Than State Average,7.34,1.04,19.35,20.68,20.15,21.22,Lower Than State Average,64.9,36.3,93.5,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
1009,08041005000,869.14,738.53,999.75,619.91,617,622.82,"Census Tract 50, El Paso County, Colorado",EL PASO,Higher Than State Average,2519.79,2291.47,2748.11,1281.52,1277.48,1285.56,Higher Than State Average,149.11,84.93,213.28,127.12,125.8,128.44,Not Different Than State Average,9,6.2,11.8,7.43,7.34,7.52,Not Different Than State Average,9.09,2.88,18.73,7.01,6.78,7.24,Not Different Than State Average,22.3,8.21,43.26,10.87,10.49,11.26,Not Different Than State Average,8.93,1.28,23.47,20.68,20.15,21.22,Not Different Than State Average,92.03,44.25,139.81,54.87,54,55.75,Not Different Than State Average,13.2,3.16,30.13,9.25,8.89,9.6,Not Different Than State Average
1010,08041006200,870.33,747.08,993.58,619.91,617,622.82,"Census Tract 62, El Paso County, Colorado",EL PASO,Higher Than State Average,2043.24,1854.9,2231.58,1281.52,1277.48,1285.56,Higher Than State Average,179.99,121.62,238.37,127.12,125.8,128.44,Not Different Than State Average,9.21,6.78,11.64,7.43,7.34,7.52,Not Different Than State Average,50,23.51,76.49,7.01,6.78,7.24,Higher Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,23.85,8.76,46.32,20.68,20.15,21.22,Not Different Than State Average,82.69,43.48,121.91,54.87,54,55.75,Not Different Than State Average,22.29,7.83,44.14,9.25,8.89,9.6,Not Different Than State Average
1011,08041006100,1257.46,1072.36,1442.55,619.91,617,622.82,"Census Tract 61, El Paso County, Colorado",EL PASO,Higher Than State Average,2820,2520.63,3119.36,1281.52,1277.48,1285.56,Higher Than State Average,168.45,90.87,246.03,127.12,125.8,128.44,Not Different Than State Average,9.42,6.77,12.07,7.43,7.34,7.52,Not Different Than State Average,30,15.05,44.95,7.01,6.78,7.24,Higher Than State Average,27.63,9.94,54.16,10.87,10.49,11.26,Not Different Than State Average,27.63,9.94,54.17,20.68,20.15,21.22,Not Different Than State Average,101.63,50.12,153.14,54.87,54,55.75,Not Different Than State Average,25.23,8.52,50.79,9.25,8.89,9.6,Not Different Than State Average
1012,08041006000,1004.38,892.4,1116.37,619.91,617,622.82,"Census Tract 60, El Paso County, Colorado",EL PASO,Higher Than State Average,2085.13,1929.95,2240.32,1281.52,1277.48,1285.56,Higher Than State Average,156.64,118.28,195,127.12,125.8,128.44,Not Different Than State Average,10.66,8,13.32,7.43,7.34,7.52,Higher Than State Average,25.18,13.69,36.66,7.01,6.78,7.24,Higher Than State Average,12.29,3.44,26.6,10.87,10.49,11.26,Not Different Than State Average,36.99,19.64,59.8,20.68,20.15,21.22,Not Different Than State Average,57.48,33.25,81.7,54.87,54,55.75,Not Different Than State Average,21.21,8.73,39.15,9.25,8.89,9.6,Not Different Than State Average
1013,08041005900,788.1,678.35,897.86,619.91,617,622.82,"Census Tract 59, El Paso County, Colorado",EL PASO,Higher Than State Average,1329.17,1213.02,1445.32,1281.52,1277.48,1285.56,Not Different Than State Average,130.88,97.69,164.07,127.12,125.8,128.44,Not Different Than State Average,8.54,5.83,11.24,7.43,7.34,7.52,Not Different Than State Average,71.43,23.35,142.92,7.01,6.78,7.24,Higher Than State Average,17.83,6.38,35.03,10.87,10.49,11.26,Not Different Than State Average,16.58,5.64,33.27,20.68,20.15,21.22,Not Different Than State Average,101.34,48.37,154.3,54.87,54,55.75,Not Different Than State Average,13.04,3.67,28.18,9.25,8.89,9.6,Not Different Than State Average
1014,08041005800,619.23,491.21,747.25,619.91,617,622.82,"Census Tract 58, El Paso County, Colorado",EL PASO,Not Different Than State Average,1105.98,966.48,1245.48,1281.52,1277.48,1285.56,Lower Than State Average,90.98,50.29,131.67,127.12,125.8,128.44,Not Different Than State Average,12.23,6.78,17.68,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,19.78,3.77,48.34,20.68,20.15,21.22,Not Different Than State Average,56.6,21.87,91.32,54.87,54,55.75,Not Different Than State Average,35.62,11.99,71.81,9.25,8.89,9.6,Higher Than State Average
1015,08041005700,749.71,648.4,851.02,619.91,617,622.82,"Census Tract 57, El Paso County, Colorado",EL PASO,Higher Than State Average,1376.67,1252.93,1500.4,1281.52,1277.48,1285.56,Not Different Than State Average,130.4,94.22,166.58,127.12,125.8,128.44,Not Different Than State Average,11.18,7.83,14.53,7.43,7.34,7.52,Higher Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,14.12,3.93,30.62,20.68,20.15,21.22,Not Different Than State Average,60.75,30.67,90.83,54.87,54,55.75,Not Different Than State Average,13.94,3.83,30.35,9.25,8.89,9.6,Not Different Than State Average
1016,08041005602,457.63,354.18,561.08,619.91,617,622.82,"Census Tract 56.02, El Paso County, Colorado",EL PASO,Lower Than State Average,1221.39,1056.54,1386.24,1281.52,1277.48,1285.56,Not Different Than State Average,137.09,77.03,197.14,127.12,125.8,128.44,Not Different Than State Average,8.29,4.27,12.3,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,26.82,7.9,56.97,20.68,20.15,21.22,Not Different Than State Average,78.72,33.06,124.37,54.87,54,55.75,Not Different Than State Average,31.53,10.54,63.74,9.25,8.89,9.6,Higher Than State Average
1017,08041004703,711.64,599.05,824.23,619.91,617,622.82,"Census Tract 47.03, El Paso County, Colorado",EL PASO,Not Different Than State Average,1833.68,1646.98,2020.38,1281.52,1277.48,1285.56,Higher Than State Average,153.44,96.88,210,127.12,125.8,128.44,Not Different Than State Average,7.03,4.42,9.63,7.43,7.34,7.52,Not Different Than State Average,3.19,0.6,7.81,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,22.88,8.85,43.45,20.68,20.15,21.22,Not Different Than State Average,68.15,33.5,102.8,54.87,54,55.75,Not Different Than State Average,15.86,4.72,33.53,9.25,8.89,9.6,Not Different Than State Average
1018,08041004009,927.15,686.18,1168.12,619.91,617,622.82,"Census Tract 40.09, El Paso County, Colorado",EL PASO,Higher Than State Average,1838.7,1475.15,2202.25,1281.52,1277.48,1285.56,Higher Than State Average,97.11,42.07,174.81,127.12,125.8,128.44,Not Different Than State Average,9.39,5.14,13.64,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,0,0,0,20.68,20.15,21.22,No Events or Data Suppressed,37.17,7.44,89.59,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
1019,08041005202,1452.34,1196.05,1708.62,619.91,617,622.82,"Census Tract 52.02, El Paso County, Colorado",EL PASO,Higher Than State Average,2545.74,2217.19,2874.29,1281.52,1277.48,1285.56,Higher Than State Average,408.74,234.13,583.35,127.12,125.8,128.44,Higher Than State Average,10.94,7.18,14.7,7.43,7.34,7.52,Not Different Than State Average,24.24,6.39,53.15,7.01,6.78,7.24,Not Different Than State Average,33.68,10.94,68.89,10.87,10.49,11.26,Not Different Than State Average,26.58,7.07,58.55,20.68,20.15,21.22,Not Different Than State Average,99.41,24.43,174.39,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
1020,08041003905,540.39,433.53,647.25,619.91,617,622.82,"Census Tract 39.05, El Paso County, Colorado",EL PASO,Not Different Than State Average,976.48,838.56,1114.4,1281.52,1277.48,1285.56,Lower Than State Average,167.5,97.67,237.33,127.12,125.8,128.44,Not Different Than State Average,9.04,4.94,13.14,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,21.77,6.42,46.21,20.68,20.15,21.22,Not Different Than State Average,61.47,32.59,99.45,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
1021,08041003706,415.52,325.95,505.09,619.91,617,622.82,"Census Tract 37.06, El Paso County, Colorado",EL PASO,Lower Than State Average,884.55,774.1,995,1281.52,1277.48,1285.56,Lower Than State Average,87.96,52.27,123.66,127.12,125.8,128.44,Lower Than State Average,5.85,2.96,9.64,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,19.74,5.73,42.16,20.68,20.15,21.22,Not Different Than State Average,23.88,8.05,48.1,54.87,54,55.75,Lower Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
1022,08041003705,504.39,422.6,586.19,619.91,617,622.82,"Census Tract 37.05, El Paso County, Colorado",EL PASO,Lower Than State Average,748.18,659.61,836.75,1281.52,1277.48,1285.56,Lower Than State Average,95.66,63.5,127.82,127.12,125.8,128.44,Not Different Than State Average,4.62,2.06,7.17,7.43,7.34,7.52,Lower Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,15.83,4.76,33.34,20.68,20.15,21.22,Not Different Than State Average,27.37,11.8,49.39,54.87,54,55.75,Lower Than State Average,17.68,5.8,36.02,9.25,8.89,9.6,Not Different Than State Average
1023,08041003000,868.61,735.89,1001.34,619.91,617,622.82,"Census Tract 30, El Paso County, Colorado",EL PASO,Higher Than State Average,1163.49,1019.59,1307.39,1281.52,1277.48,1285.56,Not Different Than State Average,129.73,82.26,177.2,127.12,125.8,128.44,Not Different Than State Average,11.19,7.59,14.78,7.43,7.34,7.52,Higher Than State Average,17.65,3.37,42.8,7.01,6.78,7.24,Not Different Than State Average,16.62,3.44,39.67,10.87,10.49,11.26,Not Different Than State Average,71.26,33.76,108.77,20.68,20.15,21.22,Higher Than State Average,84.73,42.99,126.47,54.87,54,55.75,Not Different Than State Average,23.91,7.12,50.59,9.25,8.89,9.6,Not Different Than State Average
1024,08041003303,937.64,813.27,1062.01,619.91,617,622.82,"Census Tract 33.03, El Paso County, Colorado",EL PASO,Higher Than State Average,2231.85,2060.88,2402.83,1281.52,1277.48,1285.56,Higher Than State Average,160.03,116.52,203.54,127.12,125.8,128.44,Not Different Than State Average,9.62,6.78,12.45,7.43,7.34,7.52,Not Different Than State Average,8.96,1.7,21.84,7.01,6.78,7.24,Not Different Than State Average,14.4,3.9,31.54,10.87,10.49,11.26,Not Different Than State Average,21.79,8.11,42.1,20.68,20.15,21.22,Not Different Than State Average,62.95,31.62,94.27,54.87,54,55.75,Not Different Than State Average,22.4,8.48,42.95,9.25,8.89,9.6,Not Different Than State Average
1025,08041004503,503.93,444.94,562.91,619.91,617,622.82,"Census Tract 45.03, El Paso County, Colorado",EL PASO,Lower Than State Average,1570.05,1447.48,1692.63,1281.52,1277.48,1285.56,Higher Than State Average,148.96,105.55,192.37,127.12,125.8,128.44,Not Different Than State Average,7.38,5.84,8.92,7.43,7.34,7.52,Not Different Than State Average,4.31,1.96,7.57,7.01,6.78,7.24,Not Different Than State Average,12.06,5.62,20.93,10.87,10.49,11.26,Not Different Than State Average,12.94,6.22,22.07,20.68,20.15,21.22,Not Different Than State Average,56.77,31.19,82.34,54.87,54,55.75,Not Different Than State Average,2.89,0.36,7.85,9.25,8.89,9.6,Lower Than State Average
1026,08041002900,1201.67,1061.54,1341.79,619.91,617,622.82,"Census Tract 29, El Paso County, Colorado",EL PASO,Higher Than State Average,3065.16,2855.85,3274.48,1281.52,1277.48,1285.56,Higher Than State Average,185,131.6,238.41,127.12,125.8,128.44,Higher Than State Average,8.66,6.09,11.22,7.43,7.34,7.52,Not Different Than State Average,77.78,31.82,141.7,7.01,6.78,7.24,Higher Than State Average,14.25,3.69,31.7,10.87,10.49,11.26,Not Different Than State Average,43.64,22.57,71.58,20.68,20.15,21.22,Higher Than State Average,66.95,34.24,99.66,54.87,54,55.75,Not Different Than State Average,24.34,9.48,46.08,9.25,8.89,9.6,Not Different Than State Average
1027,08041002000,1390.34,1254.44,1526.24,619.91,617,622.82,"Census Tract 20, El Paso County, Colorado",EL PASO,Higher Than State Average,2213.14,2050.72,2375.57,1281.52,1277.48,1285.56,Higher Than State Average,108.92,75.34,142.5,127.12,125.8,128.44,Not Different Than State Average,8.47,5.79,11.16,7.43,7.34,7.52,Not Different Than State Average,12.74,6.09,21.77,7.01,6.78,7.24,Not Different Than State Average,19.66,7.6,37.33,10.87,10.49,11.26,Not Different Than State Average,27.31,12.6,47.63,20.68,20.15,21.22,Not Different Than State Average,88.26,54.85,121.68,54.87,54,55.75,Not Different Than State Average,19,7.2,36.43,9.25,8.89,9.6,Not Different Than State Average
1028,08041004502,494.74,408.05,581.43,619.91,617,622.82,"Census Tract 45.02, El Paso County, Colorado",EL PASO,Lower Than State Average,1563.47,1407.79,1719.15,1281.52,1277.48,1285.56,Higher Than State Average,87.1,44.99,129.2,127.12,125.8,128.44,Not Different Than State Average,6.58,4.44,8.71,7.43,7.34,7.52,Not Different Than State Average,16.95,5.39,34.79,7.01,6.78,7.24,Not Different Than State Average,10.57,2.44,24.41,10.87,10.49,11.26,Not Different Than State Average,21,8.37,39.34,20.68,20.15,21.22,Not Different Than State Average,22.6,9.39,41.52,54.87,54,55.75,Lower Than State Average,5.72,0.49,16.65,9.25,8.89,9.6,Not Different Than State Average
1029,08041001900,1038.64,910.96,1166.31,619.91,617,622.82,"Census Tract 19, El Paso County, Colorado",EL PASO,Higher Than State Average,2069.11,1900.92,2237.31,1281.52,1277.48,1285.56,Higher Than State Average,145.25,102.84,187.65,127.12,125.8,128.44,Not Different Than State Average,9.49,6.15,12.84,7.43,7.34,7.52,Not Different Than State Average,4.48,0.85,10.95,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,32.3,13.67,58.8,20.68,20.15,21.22,Not Different Than State Average,82.1,46.2,118,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
1030,08041001800,545.11,368.19,722.04,619.91,617,622.82,"Census Tract 18, El Paso County, Colorado",EL PASO,Not Different Than State Average,1272.73,966,1579.46,1281.52,1277.48,1285.56,Not Different Than State Average,177.11,103.5,270.33,127.12,125.8,128.44,Not Different Than State Average,4.58,1.68,8.81,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,0,0,0,20.68,20.15,21.22,No Events or Data Suppressed,86.05,37.7,154.04,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
1031,08041001700,875.99,676.34,1075.64,619.91,617,622.82,"Census Tract 17, El Paso County, Colorado",EL PASO,Higher Than State Average,1574.9,1265.3,1884.51,1281.52,1277.48,1285.56,Not Different Than State Average,213.75,86.17,341.33,127.12,125.8,128.44,Not Different Than State Average,7,2.85,12.79,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,70.14,26.84,133.82,20.68,20.15,21.22,Higher Than State Average,51.69,15.96,107.81,54.87,54,55.75,Not Different Than State Average,59.52,20.44,118.98,9.25,8.89,9.6,Higher Than State Average
1032,08041001600,312.59,159.92,465.26,619.91,617,622.82,"Census Tract 16, El Paso County, Colorado",EL PASO,Lower Than State Average,563.86,352.26,775.46,1281.52,1277.48,1285.56,Lower Than State Average,194.92,105.68,284.17,127.12,125.8,128.44,Not Different Than State Average,8.47,2.79,16.85,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,39.85,15.38,75.75,54.87,54,55.75,Not Different Than State Average,50.16,22.01,89.73,9.25,8.89,9.6,Higher Than State Average
